iter	RMSE
0	6.630239521
1	6.477377697
2	6.326515033
3	6.209500902
4	6.0677149
5	5.958500775
6	5.82080957
7	5.720158306
8	5.591286185
9	5.470566508
10	5.359275386
11	5.259764677
12	5.167013289
13	5.0703982
14	4.968050494
15	4.864958047
16	4.791898573
17	4.694626303
18	4.61983266
19	4.55386796
20	4.489475402
21	4.412776782
22	4.338784944
23	4.271576545
24	4.209616654
25	4.148805435
26	4.096992403
27	4.033577851
28	3.966110488
29	3.907247196
30	3.845395539
31	3.796603063
32	3.732897428
33	3.6797536
34	3.630241223
35	3.58196665
36	3.529630554
37	3.49473492
38	3.439429592
39	3.40231676
40	3.361645498
41	3.317070992
42	3.267030705
43	3.22986113
44	3.19976324
45	3.161768338
46	3.119883483
47	3.080988383
48	3.036165389
49	2.995007857
50	2.965563542
51	2.926777418
52	2.88781998
53	2.850962691
54	2.819691199
55	2.78701861
56	2.755127609
57	2.710386974
58	2.681774666
59	2.639343093
60	2.607312185
61	2.582390192
62	2.548644226
63	2.518783438
64	2.485054077
65	2.451373181
66	2.421204789
67	2.390578239
68	2.368911152
69	2.349092502
70	2.328618603
71	2.303104689
72	2.284182254
73	2.262868841
74	2.235887608
75	2.210142216
76	2.193253613
77	2.163690086
78	2.135264978
79	2.101270503
80	2.075650103
81	2.060547876
82	2.042452251
83	2.019731962
84	1.992618789
85	1.975855577
86	1.952873454
87	1.927253805
88	1.904963355
89	1.882236037
90	1.863906755
91	1.845100075
92	1.829548552
93	1.806640582
94	1.791300236
95	1.776640809
96	1.758681298
97	1.74932566
98	1.74054924
99	1.722944687
100	1.6983482
101	1.684434105
102	1.663016134
103	1.636518764
104	1.618456363
105	1.609056426
106	1.592917684
107	1.578377929
108	1.568438375
109	1.552637891
110	1.530289483
111	1.514147285
112	1.504775591
113	1.481846392
114	1.464063292
115	1.452508509
116	1.441423677
117	1.436748769
118	1.432316008
119	1.427771177
120	1.417412645
121	1.409085786
122	1.40027968
123	1.385127767
124	1.366857693
125	1.346249539
126	1.327400734
127	1.319431051
128	1.314158073
129	1.303802635
130	1.297119093
131	1.291649593
132	1.275930536
133	1.256422729
134	1.238243586
135	1.233380222
136	1.220856916
137	1.215714428
138	1.210815499
139	1.205815579
140	1.190439309
141	1.187109685
142	1.177586932
143	1.164425956
144	1.158991173
145	1.143334665
146	1.13248268
147	1.126291052
148	1.123104078
149	1.114833658
150	1.111587388
151	1.108676653
152	1.104431467
153	1.090930948
154	1.082285925
155	1.07143415
156	1.066256408
157	1.062422092
158	1.054678198
159	1.041174622
160	1.03493087
161	1.023911467
162	1.018284011
163	1.004317728
164	0.9927438778
165	0.99028047
166	0.9797259416
167	0.9701887513
168	0.9648475749
169	0.9513180601
170	0.9428591503
171	0.9389987575
172	0.928652096
173	0.9226030746
174	0.9203458282
175	0.9105004781
176	0.8991384512
177	0.8895718037
178	0.8869023194
179	0.8759935276
180	0.8735074953
181	0.8607819267
182	0.8585431537
183	0.8481990884
184	0.8380645734
185	0.8319348441
186	0.8234725476
187	0.8156047355
188	0.807916477
189	0.8012331595
190	0.7975333198
191	0.7886840483
192	0.7858464972
193	0.7834975937
194	0.7771314545
195	0.7696676708
196	0.7672558284
197	0.7658584468
198	0.7639482483
199	0.7597458697
200	0.7502999366
201	0.7428855028
202	0.7323957749
203	0.7249407989
204	0.7233827577
205	0.7153300133
206	0.7102303003
207	0.7042715275
208	0.7029404088
209	0.700556228
210	0.6986752081
211	0.6965347987
212	0.6887105121
213	0.6845309973
214	0.6765588822
215	0.6710966158
216	0.6676480647
217	0.6603850887
218	0.6542058058
219	0.6512485612
220	0.6441676616
221	0.638466493
222	0.6320375074
223	0.6288120886
224	0.6252265482
225	0.6171998964
226	0.610228519
227	0.6084484259
228	0.6015167018
229	0.5977714067
230	0.5960738251
231	0.5899872667
232	0.5868737551
233	0.5807082861
234	0.5753303992
235	0.5679282838
236	0.5667651955
237	0.5648030524
238	0.5589986923
239	0.5523940015
240	0.5504641699
241	0.5483697598
242	0.5427694457
243	0.5371751561
244	0.5347277503
245	0.5333952781
246	0.5306655716
247	0.5265900236
248	0.5224458092
249	0.5200509965
250	0.518819854
251	0.512163071
252	0.5074943974
253	0.5034966747
254	0.4978496973
255	0.4929607651
256	0.4917926862
257	0.4874199381
258	0.4861376741
259	0.4823495267
260	0.4776735486
261	0.4740305403
262	0.4685688381
263	0.465841939
