iter	Passed	Remaining
473	897	740
474	899	738
475	901	736
476	902	734
477	903	731
478	905	729
479	907	727
480	908	725
481	909	722
482	911	720
483	912	718
484	914	716
485	915	714
486	917	711
487	919	709
488	920	707
489	921	705
490	923	703
491	924	701
492	926	698
493	927	696
494	928	694
495	931	692
496	932	690
497	934	688
498	935	686
499	937	684
500	939	682
501	940	680
502	941	677
503	943	675
504	945	673
505	946	671
506	948	669
507	950	667
508	952	665
509	953	663
510	955	661
511	957	660
512	958	657
513	960	655
514	961	653
515	964	652
516	965	650
517	967	647
518	968	645
519	970	643
520	972	641
521	973	639
522	975	637
523	976	635
524	978	633
525	979	631
526	980	629
527	982	627
528	984	625
529	986	623
530	988	621
531	990	619
532	991	617
533	993	615
534	995	613
535	996	611
536	998	609
537	999	607
538	1001	605
539	1003	603
540	1004	601
541	1005	599
542	1007	597
543	1009	595
544	1010	593
545	1011	591
546	1013	589
547	1015	587
548	1016	585
549	1017	582
550	1020	581
551	1021	579
552	1023	577
553	1024	575
554	1026	573
555	1028	571
556	1029	569
557	1030	567
558	1032	565
559	1034	563
560	1036	561
561	1037	559
562	1039	557
563	1040	555
564	1042	553
565	1044	551
566	1047	550
567	1049	548
568	1051	547
569	1053	545
570	1054	543
571	1056	541
572	1057	539
573	1059	537
574	1061	535
575	1062	533
576	1064	531
577	1066	529
578	1067	527
579	1068	525
580	1070	523
581	1072	521
582	1073	519
583	1075	517
584	1076	515
585	1078	513
586	1080	511
587	1082	509
588	1084	508
589	1086	506
590	1087	504
591	1089	502
592	1092	500
593	1094	499
594	1096	497
595	1098	495
596	1100	493
597	1102	492
598	1104	490
599	1106	488
600	1108	486
601	1110	485
602	1111	483
603	1113	481
604	1115	479
605	1117	477
606	1118	475
607	1120	473
608	1122	471
609	1124	470
610	1126	468
611	1128	466
612	1130	464
613	1132	462
614	1134	461
615	1136	459
616	1138	457
617	1140	455
618	1142	454
619	1144	452
620	1145	450
621	1148	448
622	1150	446
623	1151	444
624	1153	443
625	1154	440
626	1156	438
627	1157	436
628	1159	435
629	1161	433
630	1163	431
631	1166	430
632	1168	428
633	1170	426
634	1172	424
635	1174	422
636	1176	420
637	1177	418
638	1179	417
639	1181	415
640	1182	413
641	1184	411
642	1186	409
643	1188	407
644	1190	405
645	1191	404
646	1193	402
647	1195	400
648	1197	398
649	1198	396
650	1200	394
651	1202	392
652	1204	390
653	1205	389
654	1207	387
655	1210	385
656	1212	383
657	1214	381
658	1216	380
659	1218	378
660	1219	376
661	1221	374
662	1223	372
663	1226	371
664	1228	369
665	1229	367
666	1231	365
667	1233	363
668	1235	361
669	1237	360
670	1238	358
671	1240	356
672	1242	354
673	1244	352
674	1245	350
675	1247	348
676	1249	346
677	1251	345
678	1252	343
679	1254	341
680	1256	339
681	1257	337
682	1260	335
683	1261	333
684	1263	331
685	1264	330
686	1267	328
687	1268	326
688	1270	324
689	1271	322
690	1273	320
691	1275	318
692	1277	316
693	1278	315
694	1281	313
695	1282	311
696	1284	309
697	1285	307
698	1287	305
699	1289	303
700	1290	301
701	1292	300
702	1293	298
703	1295	296
704	1297	294
705	1299	292
706	1300	290
707	1302	288
708	1304	286
709	1305	285
710	1307	283
711	1308	281
712	1311	279
713	1312	277
714	1314	275
715	1316	273
716	1318	272
717	1320	270
718	1322	268
719	1325	266
720	1326	264
721	1328	263
722	1330	261
723	1332	259
724	1333	257
725	1335	255
726	1337	253
727	1338	251
728	1341	250
729	1343	248
730	1344	246
731	1346	244
732	1348	242
733	1350	241
734	1353	239
735	1355	237
736	1357	235
737	1359	233
738	1361	232
739	1363	230
740	1366	228
741	1367	226
742	1370	224
743	1371	223
744	1374	221
745	1376	219
746	1378	217
747	1381	216
748	1383	214
749	1385	212
750	1387	210
751	1389	208
752	1391	206
753	1393	205
754	1395	203
755	1397	201
756	1400	199
757	1402	197
758	1404	196
759	1406	194
760	1408	192
761	1410	190
762	1413	188
763	1414	187
764	1417	185
765	1419	183
766	1420	181
767	1423	179
768	1425	177
769	1426	176
770	1428	174
771	1431	172
772	1433	170
773	1435	168
774	1436	166
775	1438	164
776	1440	163
777	1442	161
778	1444	159
779	1446	157
780	1448	155
781	1451	154
782	1453	152
783	1455	150
784	1458	148
785	1459	146
786	1462	144
787	1463	143
788	1465	141
789	1466	139
790	1468	137
791	1469	135
792	1471	133
793	1473	131
794	1474	129
795	1476	127
796	1477	126
797	1478	124
798	1480	122
799	1482	120
800	1483	118
801	1484	116
802	1486	114
803	1487	112
804	1489	110
805	1490	109
806	1491	107
807	1493	105
808	1495	103
809	1496	101
810	1498	99
811	1499	97
812	1501	96
813	1502	94
814	1505	92
815	1507	90
816	1509	88
817	1510	86
818	1512	84
819	1514	83
820	1515	81
821	1516	79
822	1518	77
823	1520	75
824	1521	73
825	1523	71
826	1524	70
827	1526	68
828	1527	66
829	1529	64
830	1530	62
831	1533	60
832	1534	58
833	1536	57
834	1537	55
835	1539	53
836	1540	51
837	1542	49
838	1544	47
839	1545	46
840	1547	44
841	1548	42
842	1550	40
843	1552	38
844	1553	36
845	1554	34
846	1556	33
847	1558	31
848	1560	29
849	1561	27
850	1564	25
851	1568	23
852	1572	22
853	1574	20
854	1576	18
855	1578	16
856	1580	14
857	1584	12
858	1586	11
859	1588	9
860	1590	7
861	1591	5
862	1593	3
863	1595	1
864	1597	0
