Provinsi,Tahun,SD / Sederajat,SMP / Sederajat,SMA / Sederajat,Prevalensi Ketidakcukupan Konsumsi Pangan (Persen),Stunting,Konsumsi Kalori Per Hari Per Kapita,Konsumsi Protein Per Hari Per Kapita,Kemisikinan Maret,Akses Sanitasi Bersih,Proporsi Wanita Menikah/Menjadi Ibu di Usia Muda,Persentase Bayi Usia 0-6 Bulan Mendapatkan ASI,Melahirkan di Faskes
JAWA TIMUR,2019,96.3,86.21,57.74,7.47,26.85,2088.09,60.79,10.37,78.78,11.11,68.68,95.11
BANTEN,2019,96.26,87.4,56.94,2.13,24.1,2248.65,67.07,5.09,81.01,6,64.55,83.36
BALI,2019,98.34,93.33,64.52,2.91,14.41,2257.48,65.99,3.79,94.59,10.18,69.87,99.84
NUSA TENGGARA BARAT,2019,96.62,88.64,57.6,2.77,37.85,2451.65,74.29,14.56,80.02,16.09,74.92,93.16
NUSA TENGGARA TIMUR,2019,87.39,74.31,43.85,14.11,43.82,1916.72,53.78,21.09,64.55,8.51,75.05,79.06
KALIMANTAN BARAT,2019,88.23,72.78,49.29,19.11,31.45,1912.03,55.82,7.49,72.08,17.86,59.41,71.91
KALIMANTAN TENGAH,2019,94.66,81.01,50.01,9.38,32.3,2148.8,63.33,4.98,69.23,20.16,50.48,56.82
KALIMANTAN SELATAN,2019,91.85,82.77,59.52,2.51,31.74,2270.35,68.13,4.55,76.56,21.18,65.97,77.6
KALIMANTAN TIMUR,2019,96.07,86.98,64.74,6.97,28.08,2022.32,63.52,5.94,89.27,12.36,71.08,89.31
KALIMANTAN UTARA,2019,93.23,83.85,61.1,10.12,26.24,2006.92,64.59,6.63,77.2,12.94,76.97,90.25
SULAWESI UTARA,2019,95.97,85.67,67.58,3.96,21.18,2148.4,64.19,7.66,82.36,13.54,54.93,89.13
SULAWESI TENGAH,2019,93.56,82.23,52,8.44,31.25,2017.54,57.09,13.48,71.95,16.25,57.29,78.1
SULAWESI SELATAN,2019,95.18,83.74,60.97,7.65,30.59,2139.38,63.21,8.69,87.8,12.11,70.52,87.99
SULAWESI TENGGARA,2019,94.54,85.46,64.26,8.79,31.44,2083.17,61.16,11.24,79.75,16.56,55.77,54.92
GORONTALO,2019,89.04,80.6,50.87,7.78,34.89,2089.68,60.83,15.52,74.57,13.16,50.98,88.65
SULAWESI BARAT,2019,91.54,77.68,48.2,6.79,40.37,2119.26,58.79,11.02,73.39,19.17,72.82,78.6
MALUKU,2019,94.95,88.43,67.82,34.12,30.38,1782.61,50.69,17.69,70,9.54,56.55,39.74
MALUKU UTARA,2019,94.66,85.07,59.13,35.81,29.07,1765.13,48.43,6.77,72.52,14.36,64.36,57.6
PAPUA BARAT,2019,88.46,80.91,50.95,19.22,24.58,1922.27,56.6,22.17,76.39,13.2,66.37,69.13
PAPUA,2019,73.07,59.31,27.44,38.21,29.36,1863.07,44.66,27.53,38.27,11.21,79.05,61
ACEH,2020,98.33,90.92,70.07,8.58,33.01,2091.25,60.87,14.99,77.06,5.43,65.43,89.97
SUMATERA UTARA,2020,96.48,91.63,70.39,6.73,28.7,2121.57,62.57,8.75,81.08,5.95,53.39,83.54
SUMATERA BARAT,2020,93.26,87.12,67.11,5.86,26.71,2109.93,57.92,6.28,68.11,5.03,70.36,94.8
RIAU,2020,95.18,86.84,66.62,9.16,22.43,2076.15,59.41,6.82,83.99,9.19,65.17,78.68
JAMBI,2020,95.34,86.31,63.66,9.12,19.59,2080.6,57.91,7.58,77.82,14.03,65.22,70.8
SUMATERA SELATAN,2020,95.93,85.02,65.42,9.77,28.68,2127.77,59.85,12.66,76.94,13.44,68.06,83.05
BENGKULU,2020,95.16,87.68,62.73,7.72,25.43,2107.27,59.3,15.03,78.1,10.68,62.3,80.47
LAMPUNG,2020,97.69,86.66,57.59,12.19,24.4,2024.63,56.27,12.34,78.81,10.24,72.36,89.12
KEP. BANGKA BELITUNG,2020,96.05,81.91,56.74,9.35,20.94,2120.5,65.69,4.53,92.58,18.76,55.47,95.66
KEP. RIAU,2020,95.25,94.8,78.65,6.07,13.72,2140.41,69.39,5.92,89.19,7.31,59.49,94.3
DKI JAKARTA,2020,97.8,94.57,85.67,1.94,19.24,2198.72,70.52,4.53,93.04,1.45,70.86,99.15
