,Provinsi,Tahun,SD / Sederajat,SMP / Sederajat,SMA / Sederajat,Prevalensi Ketidakcukupan Konsumsi Pangan (Persen),Stunting,Konsumsi Kalori Per Hari Per Kapita,Konsumsi Protein Per Hari Per Kapita,Kemisikinan Maret,Akses Sanitasi Bersih
38,JAMBI,2019,96.99,84.4,56.87,8.95,21.03,2057.48,57.83,7.6,75.6
39,SUMATERA SELATAN,2019,96.08,83.4,58.23,9.04,28.98,2121.99,59.9,12.71,74.67
40,BENGKULU,2019,93.33,85.13,61.47,7.66,26.86,2086.11,58.28,15.23,75.91
41,LAMPUNG,2019,96.05,84.08,54.87,10.51,26.25,2050.79,57.3,12.62,79.22
42,KEPULAUAN BANGKA BELITUNG,2019,92.8,77.96,53.84,7.85,19.93,2150.84,67.2,4.62,90.32
43,KEPULAUAN RIAU,2019,95.69,91.56,78.14,4.08,16.81,2131.06,65.83,5.9,89.13
44,DKI JAKARTA,2019,96.05,93.02,84.35,1.43,19.95,2191.06,70.75,3.47,92.89
45,JAWA BARAT,2019,97.92,85.53,57.46,3.7,26.21,2196.68,64.84,6.91,69.64
46,JAWA TENGAH,2019,96.61,85.47,49.79,11.61,27.67,2045.63,59.8,10.8,80.29
47,DAERAH ISTIMEWA YOGYAKARTA,2019,94.92,92.34,84.54,7.35,21.03,2200.67,70.43,11.7,94.67
48,JAWA TIMUR,2019,96.3,86.21,57.74,7.47,26.85,2088.09,60.79,10.37,78.78
49,BANTEN,2019,96.26,87.4,56.94,2.13,24.1,2248.65,67.07,5.09,81.01
50,BALI,2019,98.34,93.33,64.52,2.91,14.41,2257.48,65.99,3.79,94.59
51,NUSA TENGGARA BARAT,2019,96.62,88.64,57.6,2.77,37.85,2451.65,74.29,14.56,80.02
52,NUSA TENGGARA TIMUR,2019,87.39,74.31,43.85,14.11,43.82,1916.72,53.78,21.09,64.55
53,KALIMANTAN BARAT,2019,88.23,72.78,49.29,19.11,31.45,1912.03,55.82,7.49,72.08
54,KALIMANTAN TENGAH,2019,94.66,81.01,50.01,9.38,32.3,2148.8,63.33,4.98,69.23
55,KALIMANTAN SELATAN,2019,91.85,82.77,59.52,2.51,31.74,2270.35,68.13,4.55,76.56
56,KALIMANTAN TIMUR,2019,96.07,86.98,64.74,6.97,28.08,2022.32,63.52,5.94,89.27
57,KALIMANTAN UTARA,2019,93.23,83.85,61.1,10.12,26.24,2006.92,64.59,6.63,77.2
58,SULAWESI UTARA,2019,95.97,85.67,67.58,3.96,21.18,2148.4,64.19,7.66,82.36
59,SULAWESI TENGAH,2019,93.56,82.23,52.0,8.44,31.25,2017.54,57.09,13.48,71.95
60,SULAWESI SELATAN,2019,95.18,83.74,60.97,7.65,30.59,2139.38,63.21,8.69,87.8
61,SULAWESI TENGGARA,2019,94.54,85.46,64.26,8.79,31.44,2083.17,61.16,11.24,79.75
62,GORONTALO,2019,89.04,80.6,50.87,7.78,34.89,2089.68,60.83,15.52,74.57
63,SULAWESI BARAT,2019,91.54,77.68,48.2,6.79,40.37,2119.26,58.79,11.02,73.39
64,MALUKU,2019,94.95,88.43,67.82,34.12,30.38,1782.61,50.69,17.69,70.0
65,MALUKU UTARA,2019,94.66,85.07,59.13,35.81,29.07,1765.13,48.43,6.77,72.52
66,PAPUA BARAT,2019,88.46,80.91,50.95,19.22,24.58,1922.27,56.6,22.17,76.39
67,PAPUA,2019,73.07,59.31,27.44,38.21,29.36,1863.07,44.66,27.53,38.27
68,ACEH,2020,98.33,90.92,70.07,8.58,33.01,2091.25,60.87,14.99,77.06
69,SUMATERA UTARA,2020,96.48,91.63,70.39,6.73,28.7,2121.57,62.57,8.75,81.08
70,SUMATERA BARAT,2020,93.26,87.12,67.11,5.86,26.71,2109.93,57.92,6.28,68.11
71,RIAU,2020,95.18,86.84,66.62,9.16,22.43,2076.15,59.41,6.82,83.99
72,JAMBI,2020,95.34,86.31,63.66,9.12,19.59,2080.6,57.91,7.58,77.82
73,SUMATERA SELATAN,2020,95.93,85.02,65.42,9.77,28.68,2127.77,59.85,12.66,76.94
74,BENGKULU,2020,95.16,87.68,62.73,7.72,25.43,2107.27,59.3,15.03,78.1
75,LAMPUNG,2020,97.69,86.66,57.59,12.19,24.4,2024.63,56.27,12.34,78.81
76,KEPULAUAN BANGKA BELITUNG,2020,96.05,81.91,56.74,9.35,20.94,2120.5,65.69,4.53,92.58
77,KEPULAUAN RIAU,2020,95.25,94.8,78.65,6.07,13.72,2140.41,69.39,5.92,89.19
78,DKI JAKARTA,2020,97.8,94.57,85.67,1.94,19.24,2198.72,70.52,4.53,93.04
79,JAWA BARAT,2020,97.76,88.17,63.56,3.9,25.55,2173.59,64.38,7.88,71.4
80,JAWA TENGAH,2020,97.2,89.0,55.82,11.8,26.9,2054.43,60.19,11.41,83.24
81,DAERAH ISTIMEWA YOGYAKARTA,2020,96.43,92.36,87.99,9.9,19.88,2146.57,68.95,12.28,96.96
82,JAWA TIMUR,2020,96.81,89.98,63.53,8.58,25.64,2080.67,60.27,11.09,80.98
83,BANTEN,2020,96.03,86.7,64.24,2.11,21.84,2250.36,67.39,5.92,82.0
84,BALI,2020,96.66,93.21,74.88,4.01,13.68,2293.11,66.61,3.78,95.01
85,NUSA TENGGARA BARAT,2020,97.29,89.91,64.66,2.97,38.15,2441.93,73.66,13.97,82.89
86,NUSA TENGGARA TIMUR,2020,86.92,78.81,50.65,13.12,42.99,1948.11,54.88,20.9,69.7
87,KALIMANTAN BARAT,2020,91.79,80.88,55.23,19.92,30.9,1907.88,55.45,7.17,75.81
88,KALIMANTAN TENGAH,2020,95.45,84.83,60.77,10.1,30.48,2141.22,62.69,4.82,72.31
89,KALIMANTAN SELATAN,2020,94.1,82.48,63.05,2.72,30.93,2271.73,68.57,4.38,81.17
90,KALIMANTAN TIMUR,2020,95.84,92.4,71.63,8.24,27.49,2019.56,64.09,6.1,89.17
91,KALIMANTAN UTARA,2020,96.38,87.14,67.77,12.11,25.76,1944.47,63.86,6.8,82.09
92,SULAWESI UTARA,2020,95.58,86.69,73.79,4.49,19.73,2152.32,64.74,7.62,85.49
93,SULAWESI TENGAH,2020,95.05,82.79,57.68,8.85,29.66,2039.84,57.28,12.92,74.61
94,SULAWESI SELATAN,2020,96.13,85.08,66.22,10.14,29.28,2093.31,61.47,8.72,88.96
95,SULAWESI TENGGARA,2020,95.28,89.18,68.28,10.06,29.76,2027.62,60.95,11.0,82.38
96,GORONTALO,2020,91.9,80.1,55.35,10.33,32.72,2045.01,58.82,15.22,75.68
97,SULAWESI BARAT,2020,94.7,83.08,56.6,9.16,40.44,2074.92,57.71,10.87,77.07
98,MALUKU,2020,97.47,88.04,70.55,35.55,27.94,1772.15,51.37,17.44,75.06
99,MALUKU UTARA,2020,95.59,87.41,66.52,35.48,27.23,1773.4,48.37,6.78,75.99
100,PAPUA BARAT,2020,89.25,83.47,61.49,23.09,23.42,1902.71,55.16,21.37,78.71
101,PAPUA,2020,78.4,65.75,30.92,31.49,28.05,1914.12,46.52,26.64,40.31
102,ACEH,2021,99.44,93.43,74.36,6.9,33.2,2171.13,63.02,15.33,77.55
103,SUMATERA UTARA,2021,98.57,91.35,72.81,6.33,25.8,2149.23,63.26,9.01,82.02
104,SUMATERA BARAT,2021,95.29,89.49,70.06,6.02,23.3,2135.3,58.39,6.63,68.68
105,RIAU,2021,96.91,87.11,68.94,10.61,22.3,2079.53,58.04,7.12,83.64
106,JAMBI,2021,98.54,89.0,64.51,9.25,22.4,2140.54,60.01,8.09,80.36
107,SUMATERA SELATAN,2021,97.82,87.68,67.2,6.82,24.8,2232.11,63.62,12.84,77.29
108,BENGKULU,2021,98.16,89.94,62.46,8.64,22.1,2124.59,58.9,15.22,79.81
109,LAMPUNG,2021,98.33,89.46,60.09,10.25,18.5,2097.21,57.65,12.62,83.89
110,KEPULAUAN BANGKA BELITUNG,2021,96.61,80.99,63.98,11.05,18.6,2111.52,64.63,4.9,92.24
111,KEPULAUAN RIAU,2021,98.16,92.71,81.07,7.71,25.220000000000002,2149.34,70.31,6.12,91.62
112,DKI JAKARTA,2021,99.26,95.0,84.98,2.2,16.8,2223.32,70.51,4.72,95.17
113,JAWA BARAT,2021,98.45,88.18,64.89,4.44,24.5,2213.98,64.79,8.4,71.66
114,JAWA TENGAH,2021,98.06,88.44,59.9,12.34,20.9,2072.28,59.28,11.79,83.28
115,DAERAH ISTIMEWA YOGYAKARTA,2021,98.48,94.94,90.12,10.18,17.3,2143.98,65.25,12.8,97.12
