iter	Passed	Remaining
387	733	901
388	735	899
389	737	898
390	739	896
391	741	894
392	743	892
393	745	891
394	747	889
395	750	888
396	751	885
397	752	883
398	753	879
399	755	877
400	756	874
401	757	872
402	758	870
403	761	869
404	763	867
405	766	866
406	770	866
407	772	865
408	774	863
409	777	862
410	779	860
411	781	859
412	795	870
413	797	868
414	799	867
415	802	865
416	804	863
417	806	862
418	808	860
419	810	858
420	812	856
421	814	854
422	814	851
423	816	849
424	818	846
425	820	845
426	821	842
427	823	841
428	825	839
429	827	837
430	829	835
431	830	832
432	833	831
433	834	829
434	836	826
435	839	825
436	841	824
437	843	822
438	845	820
439	847	818
440	849	816
441	851	814
442	853	813
443	855	811
444	857	809
445	859	807
446	861	805
447	863	803
448	865	801
449	866	799
450	867	796
451	869	794
452	871	792
453	872	790
454	874	788
455	876	785
456	878	783
457	879	781
458	881	779
459	883	778
460	884	775
461	885	772
462	887	770
463	889	768
464	891	766
465	893	764
466	895	762
467	897	760
468	899	759
469	900	756
470	902	754
471	904	753
472	906	751
473	908	749
474	910	747
475	911	745
476	913	742
477	915	740
478	917	739
479	918	737
480	921	735
481	923	733
482	925	731
483	927	729
484	929	727
485	931	726
486	932	724
487	934	722
488	936	720
489	938	718
490	940	716
491	942	714
492	944	712
493	946	710
494	948	708
495	950	707
496	952	705
497	954	703
498	956	701
499	958	699
500	960	697
501	962	695
502	964	693
503	966	692
504	968	690
505	969	688
506	971	686
507	973	684
508	975	682
509	977	680
510	979	678
511	981	676
512	983	674
513	984	672
514	986	670
515	988	668
516	990	666
517	992	664
518	994	662
519	996	660
520	996	657
521	998	655
522	999	653
523	1001	651
524	1003	649
525	1005	647
526	1007	645
527	1007	643
528	1009	641
529	1010	638
530	1012	636
531	1014	635
532	1016	633
533	1018	631
534	1020	629
535	1022	627
536	1022	624
537	1024	622
538	1027	621
539	1027	618
540	1029	616
541	1031	614
542	1033	612
543	1035	610
544	1037	609
545	1037	606
546	1040	604
547	1041	602
548	1043	600
549	1045	598
550	1047	596
551	1048	594
552	1050	592
553	1053	591
554	1055	589
555	1056	587
556	1059	585
557	1060	583
558	1062	581
559	1064	579
560	1066	578
561	1068	576
562	1070	574
563	1072	572
564	1074	570
565	1076	568
566	1077	566
567	1079	564
568	1081	562
569	1083	560
570	1085	558
571	1086	556
572	1088	554
573	1090	552
574	1092	551
575	1094	549
576	1095	547
577	1098	545
578	1099	543
579	1101	541
580	1103	539
581	1105	537
582	1107	535
583	1110	534
584	1112	532
585	1114	530
586	1115	528
587	1117	526
588	1119	524
589	1121	522
590	1123	520
591	1125	518
592	1127	516
593	1128	514
594	1130	513
595	1132	511
596	1134	509
597	1136	507
598	1138	505
599	1139	503
600	1141	501
601	1143	499
602	1145	497
603	1147	495
604	1149	493
605	1152	492
606	1153	490
607	1156	488
608	1157	486
609	1159	484
610	1161	482
611	1163	480
612	1165	479
613	1166	476
614	1167	474
615	1169	472
616	1171	470
617	1173	468
618	1175	467
619	1176	465
620	1178	463
621	1180	461
622	1182	459
623	1184	457
624	1185	455
625	1187	453
626	1189	451
627	1190	449
628	1192	447
629	1194	445
630	1196	443
631	1197	441
632	1199	439
633	1200	437
634	1202	435
635	1204	433
636	1206	431
637	1207	429
638	1209	427
639	1211	425
640	1213	423
641	1215	422
642	1217	420
643	1219	418
644	1221	416
645	1223	414
646	1225	412
647	1227	411
648	1229	409
649	1231	407
650	1232	405
651	1234	403
652	1237	401
653	1238	399
654	1241	397
655	1243	396
656	1245	394
657	1247	392
658	1248	390
659	1250	388
660	1252	386
661	1254	384
662	1256	382
663	1258	380
664	1260	379
665	1261	377
666	1263	375
667	1265	373
668	1267	371
669	1268	369
670	1270	367
671	1272	365
672	1274	363
673	1276	361
674	1278	359
675	1280	357
676	1282	356
677	1284	354
678	1286	352
679	1287	350
680	1289	348
681	1291	346
682	1293	344
683	1295	342
684	1297	340
685	1300	339
686	1302	337
687	1303	335
688	1306	333
689	1308	331
690	1310	329
691	1312	328
692	1313	326
693	1315	324
694	1317	322
695	1319	320
696	1320	318
697	1322	316
698	1325	314
699	1326	312
700	1328	310
701	1330	308
702	1332	306
703	1333	305
704	1336	303
705	1338	301
706	1339	299
707	1341	297
708	1343	295
709	1345	293
710	1347	291
711	1348	289
712	1352	288
713	1353	286
714	1355	284
715	1357	282
716	1359	280
717	1361	278
718	1363	276
719	1365	274
720	1367	273
721	1368	271
722	1370	269
723	1372	267
724	1374	265
725	1376	263
726	1378	261
727	1379	259
728	1381	257
729	1383	255
730	1385	253
731	1386	251
732	1388	250
733	1390	248
734	1392	246
735	1393	244
736	1394	242
737	1397	240
738	1399	238
739	1400	236
740	1402	234
741	1404	232
742	1406	230
743	1407	228
744	1410	227
745	1412	225
746	1413	223
747	1415	221
748	1417	219
749	1419	217
750	1420	215
751	1423	213
752	1425	211
753	1426	210
754	1428	208
755	1430	206
756	1432	204
757	1434	202
758	1436	200
759	1438	198
760	1440	196
761	1442	194
762	1444	193
763	1446	191
764	1447	189
765	1449	187
766	1451	185
767	1453	183
768	1455	181
769	1457	179
770	1458	177
771	1460	175
772	1462	174
773	1464	172
774	1465	170
775	1467	168
776	1469	166
777	1471	164
778	1473	162
779	1475	160
780	1477	158
781	1478	156
782	1480	155
783	1482	153
784	1484	151
785	1486	149
786	1488	147
787	1490	145
788	1492	143
789	1494	141
790	1496	140
791	1498	138
792	1500	136
793	1502	134
794	1504	132
795	1506	130
796	1508	128
797	1510	126
798	1511	124
799	1513	123
800	1515	121
801	1517	119
802	1519	117
803	1521	115
804	1522	113
805	1524	111
806	1526	109
807	1528	107
808	1530	105
809	1532	104
810	1534	102
811	1535	100
812	1537	98
813	1540	96
814	1542	94
815	1544	92
816	1546	90
817	1548	88
818	1550	87
819	1552	85
820	1554	83
821	1556	81
822	1558	79
823	1560	77
824	1562	75
825	1564	73
826	1566	71
827	1567	70
828	1569	68
829	1571	66
830	1573	64
831	1575	62
832	1577	60
833	1579	58
834	1581	56
835	1582	54
836	1585	53
837	1586	51
838	1588	49
839	1590	47
840	1592	45
841	1594	43
842	1595	41
843	1597	39
844	1599	37
845	1601	35
846	1602	34
847	1604	32
848	1606	30
849	1608	28
850	1609	26
851	1611	24
852	1613	22
853	1615	20
854	1617	18
855	1619	17
856	1621	15
857	1623	13
858	1624	11
859	1626	9
860	1628	7
861	1630	5
862	1632	3
863	1633	1
864	1635	0
