iter	RMSE
0	6.655921995
1	6.520649146
2	6.367890783
3	6.217423098
4	6.084459716
5	5.949527997
6	5.813581041
7	5.701098407
8	5.590583773
9	5.502654414
10	5.434363251
11	5.341487003
12	5.270440526
13	5.175000088
14	5.093495598
15	5.001842035
16	4.935320571
17	4.859498782
18	4.787861394
19	4.725224888
20	4.670987485
21	4.596651211
22	4.524772814
23	4.482799325
24	4.435307418
25	4.390800111
26	4.354740511
27	4.314132396
28	4.269933503
29	4.221821996
30	4.178411245
31	4.132245886
32	4.074169611
33	4.028609565
34	3.992732896
35	3.959593345
36	3.931798473
37	3.892282637
38	3.862174501
39	3.823262546
40	3.794364855
41	3.746559501
42	3.719907859
43	3.698547633
44	3.667478027
45	3.643248169
46	3.610135079
47	3.578469039
48	3.54834304
49	3.528086019
50	3.500861052
51	3.473245929
52	3.452970082
53	3.424300491
54	3.408014298
55	3.376881494
56	3.347871328
57	3.320431489
58	3.289354749
59	3.270543689
60	3.237451633
61	3.191905927
62	3.171729426
63	3.144816184
64	3.120889471
65	3.087002647
66	3.068058666
67	3.037801019
68	3.015962755
69	2.993712417
70	2.971317166
71	2.952312479
72	2.928801779
73	2.91666009
74	2.892059517
75	2.844503731
76	2.821260918
77	2.800096928
78	2.781841433
79	2.740589381
80	2.720959917
81	2.685279262
82	2.64679744
83	2.634464566
84	2.595577711
85	2.564168214
86	2.537523518
87	2.509957986
88	2.498888994
89	2.462285636
90	2.439174799
91	2.414147357
92	2.397352951
93	2.356332644
94	2.320364998
95	2.285634671
96	2.253235258
97	2.216010934
98	2.186177116
99	2.152367408
100	2.130877232
101	2.090544367
102	2.068345889
103	2.032467449
104	1.994112306
105	1.98155293
106	1.965045223
107	1.933292423
108	1.901585861
109	1.8862675
110	1.85460235
111	1.819036523
112	1.807590125
113	1.79446913
114	1.782294264
115	1.750826174
116	1.731720811
117	1.719483543
118	1.699005438
119	1.668685301
120	1.646876572
121	1.635633701
122	1.611001253
123	1.601077129
124	1.572605321
125	1.564382862
126	1.539043256
127	1.527567827
128	1.503619866
129	1.496297181
130	1.469107822
131	1.454354362
132	1.435080671
133	1.415045191
134	1.405406071
135	1.386999161
136	1.370087778
137	1.357330127
138	1.340970213
139	1.334576033
140	1.321177816
141	1.309472004
142	1.304737392
143	1.28039306
144	1.272680405
145	1.253138123
146	1.247677717
147	1.23760673
148	1.221729881
149	1.212732102
150	1.201343659
151	1.192939176
152	1.177122842
153	1.170311428
154	1.15357965
155	1.139404908
156	1.130914712
157	1.124205272
158	1.11581733
159	1.111506981
160	1.098065023
161	1.082016264
162	1.070258268
163	1.067329694
164	1.059616483
165	1.04946475
166	1.043317325
167	1.039975023
168	1.027564416
169	1.013960805
170	0.9995538943
171	0.9892631716
172	0.9832689718
173	0.9715065568
174	0.9565210591
175	0.9404876202
176	0.9321262425
177	0.9272086954
178	0.9128129196
179	0.9063748837
180	0.9033224214
181	0.8934972319
182	0.8832188664
183	0.873301139
184	0.8684846884
185	0.8572240138
186	0.8515743756
187	0.8406011747
188	0.8311649252
189	0.826710584
190	0.8204438748
191	0.8087540646
192	0.8052775604
193	0.8022991701
194	0.787687505
195	0.7844467679
196	0.7755420531
197	0.7655804559
198	0.7597497248
199	0.7540851202
200	0.7506773204
201	0.7420363054
202	0.7339503854
203	0.7317083538
204	0.7287708993
205	0.7156980435
206	0.71153344
207	0.7079620475
208	0.7005277428
209	0.692421431
210	0.6857428683
211	0.6799214113
212	0.6763687568
213	0.6695396929
214	0.6665286489
215	0.658586618
216	0.6564653029
217	0.6533402965
218	0.6494209015
219	0.6431548963
220	0.6385627731
221	0.6339583251
222	0.6300063604
223	0.6233572576
224	0.6176493964
225	0.6155222977
226	0.612986795
227	0.6070893167
228	0.5993722558
229	0.596350089
230	0.5888529819
231	0.5843425705
232	0.5808226784
233	0.5761463694
234	0.5726916676
235	0.5671852782
236	0.5659528167
237	0.5637467468
238	0.5537384562
239	0.5501946424
240	0.5481372234
241	0.5451698069
242	0.5375715167
243	0.536293693
244	0.5307133705
245	0.5295723446
246	0.5231454131
247	0.5173494
248	0.5156985179
249	0.513603903
250	0.5062393865
251	0.5038950074
252	0.4964434966
253	0.4904448306
254	0.4889282023
255	0.4830542077
256	0.4780379214
257	0.4765293307
258	0.4751146659
259	0.4668268382
260	0.4651455803
261	0.4630377143
262	0.4599631515
263	0.4569453719
264	0.4556834751
265	0.4517314804
266	0.4441676919
267	0.4380610515
268	0.4333480498
269	0.4314371672
270	0.4252541573
271	0.4193816862
272	0.414833651
273	0.4102632908
274	0.4054357697
275	0.4032049304
276	0.4024008525
277	0.3965246718
278	0.3940598812
279	0.3890580965
280	0.3856037099
281	0.3815269509
282	0.3753399847
283	0.3717664909
284	0.3704008852
285	0.3673679323
286	0.3640731896
287	0.3628170743
288	0.3581723527
289	0.3567692611
290	0.3537331386
291	0.3489479891
292	0.3447444818
293	0.3409721488
294	0.3398682608
295	0.3386918547
296	0.3350582901
297	0.3305920116
298	0.3292290665
299	0.3267614708
300	0.3234739368
301	0.3208676385
302	0.3185303822
303	0.3169206529
304	0.3138676425
305	0.3116699434
306	0.3064299823
307	0.3027730056
308	0.301588859
309	0.300742996
310	0.2983897005
311	0.2972617903
312	0.2956665958
313	0.2906019726
314	0.2891878618
315	0.2860306337
316	0.2820072393
317	0.2793969974
318	0.2769068456
319	0.2756074262
320	0.2745044271
321	0.2716027625
322	0.2676770742
323	0.2665492348
324	0.2645002403
325	0.2625388361
326	0.2618004351
327	0.2603004101
328	0.2591808529
329	0.2555174527
330	0.252854504
331	0.25049799
332	0.2486727016
333	0.2462154201
334	0.2457955823
335	0.2450527305
336	0.2412078583
337	0.2397237105
338	0.238412047
339	0.2341000759
340	0.2318615968
341	0.2294205942
342	0.2262846031
343	0.2245739508
344	0.2235460234
345	0.2228980672
346	0.2220901848
347	0.2206087854
348	0.2184311776
349	0.2155421263
350	0.2137008676
351	0.2126349822
352	0.209314395
353	0.2070535564
354	0.2062565451
355	0.2057758606
356	0.2053170341
357	0.2033037732
358	0.2014855903
359	0.2007801912
360	0.1989316413
361	0.1983810193
362	0.1975129878
363	0.1950651406
364	0.1930669502
365	0.192511038
366	0.1917330491
367	0.1910525716
368	0.1888413651
369	0.187368886
370	0.1856458046
371	0.1853525929
372	0.1844958359
373	0.1821722765
374	0.1805820574
375	0.1786988754
376	0.1774358954
377	0.1757612981
378	0.1746718762
379	0.1740548651
380	0.1736351589
381	0.1720045973
382	0.1702588384
383	0.1691445997
384	0.1673185359
385	0.1659331962
386	0.1655976315
387	0.1636154526
388	0.1620992444
389	0.1612126881
390	0.159809074
391	0.1581113702
392	0.1578993206
393	0.1576484208
394	0.1565082296
395	0.1559266053
396	0.1556543205
397	0.1545661627
398	0.1526728571
399	0.1507950018
400	0.1501342366
401	0.1484901974
402	0.14800266
403	0.146319798
404	0.1456700655
405	0.1441365185
406	0.1435570023
407	0.1427112251
408	0.1414411172
409	0.1412219483
410	0.1407775652
411	0.1398923407
412	0.1394789492
413	0.1389207089
414	0.137284522
415	0.1362377474
416	0.1356979282
417	0.1343697037
418	0.1331326964
419	0.1324297675
420	0.1321023609
421	0.1309728787
422	0.1294609919
423	0.1288424405
424	0.1286474722
425	0.1274351663
426	0.1268981043
427	0.1263956912
428	0.1258941359
429	0.1241524072
430	0.1234489588
431	0.1220351985
432	0.1205774503
433	0.1196460531
434	0.1192115948
435	0.1187754903
436	0.1176260926
437	0.1162867959
438	0.1161035147
439	0.1157324484
440	0.1155082943
441	0.115239094
442	0.1139504336
443	0.1130866936
444	0.1126497809
445	0.111132774
446	0.1106991748
447	0.1098492567
448	0.1084329681
449	0.1074001131
450	0.1066117586
451	0.1050503403
